id,name,category,stock_quantity,purchase_price,selling_price,min_stock
1359,TAPIS 40 60,,10,0.0,0.0,0
1082,TIGER 120,,250,0.0,0.0,0
1026,TIGER 60,,2203,0.0,0.0,0
1111,TIGER 90,,1103,0.0,0.0,0
523,TIGER PM,,554,190.0,190.0,0
1370,TIKET JONES,,30000,0.85,0.85,0
1322,TIKI ONE STEPUP,,10,0.0,0.0,0
1141,TOMMY 165,,103,0.0,0.0,0
1199,TOMMY 36,,484,0.0,0.0,0
1084,TOMMY 4,,100,0.0,0.0,0
1269,TOMMY 50X35,,388,0.0,0.0,0
1218,TOMMY 56,,204,0.0,0.0,0
1172,TOMMY 89,,355,0.0,0.0,0
1238,TOMMY GOCCI,,302,240.0,240.0,0
989,TOMMY JEANS,,300,0.0,0.0,0
1213,TOMMY/GOCCI,,223,0.0,0.0,0
1136,TOP MODEL,,60030,0.85,0.85,0
1144,TOTTENHAM HOTSPUR,,151,250.0,250.0,0
1305,TRINGLE 144,,200,240.0,240.0,0
1245,TURCKY CHINE,,20,0.85,0.85,0
1030,Tewlep Fashion,,41000,0.0,0.0,0
840,U S M H,,235,0.0,0.0,0
1065,UMBRO 52,,150,0.0,0.0,0
973,UMPRO HUMMEL FLACH 48/38/4,,203,0.0,0.0,0
963,US STAR 4P/4G,,202,200.0,200.0,0
962,US START 24,,202,200.0,200.0,0
1302,USMH 40,,153,240.0,240.0,0
1299,USMH 70,,63,0.0,0.0,0
1103,VERT FONCE,,10,1500.0,1500.0,0
1162,VERT FUO,,1,1700.0,1700.0,0
1347,VICTORIA S SECRET 14,,150,0.0,0.0,0
948,VINTAGE,,205,0.0,0.0,0
1270,VOLKSWAGEN 12,,102,240.0,240.0,0
1089,WHACHINTON,,352,240.0,240.0,0
911,WILDLIFE,,103,230.0,230.0,0
1014,WILSON 24,,202,230.0,230.0,0
992,WILSSON M,,353,220.0,220.0,0
1219,X X L,,30,0.0,0.0,0
870,XL 2.5,,361,0.0,0.0,0
1239,XL 3,,150,500.0,500.0,0
981,XL LOUIS VUITION,,303,0.0,0.0,0
644,XL NOIR,,220,500.0,500.0,0
871,XXL 2.5,,203,0.0,0.0,0
1240,XXL 3,,404,500.0,500.0,0
645,XXL NOIR,,210,500.0,500.0,0
996,XXXL 2.5,,64,0.0,0.0,0
646,XXXL NOIR,,100,500.0,500.0,0
633,Xstra-clean,,75000,1.2,1.2,0
1152,YALLOW GOLDEN,,10,1350.0,1350.0,0
1252,YL,,8,0.0,0.0,0
1118,ZARA,,20000,0.0,0.0,0
608,club GM,,102,220.0,220.0,0
764,dinotex logo   PM,,1085,0.0,0.0,0
607,feuille club,,40,200.0,200.0,0
610,hayat tizi,,152,250.0,250.0,0
1055,jsk 10 drapo,,169,0.0,0.0,0
553,keyassa,,2685737,0.0,0.0,0
622,keyassa 01,,334,0.0,0.0,0
1032,manchter city,,150,220.0,220.0,0
566,puma rahim,,50,190.0,190.0,0
1052,zomoroda,,20000,0.0,0.0,0
888,الؤلؤة,,1,0.0,0.0,0
1373,التعاونية,,30000,1.0,1.0,0
1232,الزخرفة 110,,302,240.0,240.0,0
624,السلطان,,1370463,0.85,0.85,0
655,السلطان 2,,100800,0.55,0.55,0
993,العوالي,,706,0.0,0.0,0
883,المدرسة القرآنية,,21,0.0,0.0,0
1044,المدرسة القرآنية 2,,19,0.0,0.0,0
1066,بورقبة,,102,220.0,220.0,0
640,جمعية الارشاد و الاصلاح الجزائرية,,175,390.0,390.0,0
1372,رمضان كريم,,261,0.0,0.0,0
1195,عيد مبارك,,51,0.0,0.0,0
1368,كرسي الحرمين,,50,250.0,250.0,0
1090,مرام حمادي,,10400,0.0,0.0,0
